t_var var
t_string string
t_id first
s_comma ,
t_id second
s_semi ;
t_main main
t_id first
s_assign =
t_text aaa
s_semi ;
t_id second
s_assign =
t_text zzz
s_semi ;
t_if if
s_lparen (
t_id first
s_lt <
t_id second
s_rparen )
t_then then
t_output output
s_lparen (
t_text this should not print
s_rparen )
t_else else
t_output output
s_lparen (
t_text congrats
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id first
s_gt >
t_id second
s_rparen )
t_then then
t_output output
s_lparen (
t_text congrats
s_rparen )
t_else else
t_output output
s_lparen (
t_text this should not print
s_rparen )
t_end end
t_if if
t_end end
