t_var var
t_integer integer
t_id a
s_comma ,
t_id b
s_comma ,
t_id c
s_semi ;
t_main main
t_id a
s_assign =
t_number 7
s_semi ;
t_id b
s_assign =
t_number 5
s_semi ;
t_id c
s_assign =
t_number 10
s_semi ;
t_if if
s_lparen (
t_id a
s_gt >
t_id b
s_rparen )
t_then then
t_output output
s_lparen (
t_text good
s_rparen )
t_if if
s_lparen (
t_id c
s_gt >
t_id b
s_rparen )
t_then then
t_output output
s_lparen (
t_text also good
s_rparen )
t_if if
s_lparen (
t_id a
s_gt >
t_id c
s_rparen )
t_then then
t_output output
s_lparen (
t_text not good
s_rparen )
t_end end
t_if if
t_end end
t_if if
t_end end
t_if if
t_end end
