t_var var
t_string string
t_id empty
s_comma ,
t_id notEmpty
s_semi ;
t_main main
t_id notEmpty
s_assign =
t_text hello
s_semi ;
t_if if
s_lparen (
t_id empty
s_rparen )
t_then then
t_output output
s_lparen (
t_text good
s_rparen )
t_else else
t_output output
s_lparen (
t_text bad
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id notEmpty
s_rparen )
t_then then
t_output output
s_lparen (
t_text good
s_rparen )
t_else else
t_output output
s_lparen (
t_text bad
s_rparen )
t_end end
t_if if
t_end end
